official_title,official_product_url,format,mapping_status,review_notes
Along the Path to Enlightenment,https://www.hayhouse.com/along-the-path-to-enlightenment-1,eBook,matched_by_title,
Dissolving the Ego Realizing the Self,https://www.hayhouse.com/dissolving-the-ego-realizing-the-self-1,eBook,matched_by_title,
Discovery of the Presence of God,https://www.hayhouse.com/discovery-of-the-presence-of-god-paperback,paperback,matched_by_title,
Healing and Recovery,https://www.hayhouse.com/healing-and-recovery-paperback,paperback,matched_by_title,
I Reality and Subjectivity,https://www.hayhouse.com/i-reality-and-subjectivity-1,paperback,matched_by_title,
Letting Go,https://www.hayhouse.com/letting-go-2,paperback,matched_by_title,
Eye of the I,https://www.hayhouse.com/eye-of-the-i-paperback,paperback,matched_by_title,
Transcending the Levels of Consciousness,https://www.hayhouse.com/traqnscending-the-levels-of-consciousness-paperback,paperback,matched_by_title,
Power vs Force,https://www.hayhouse.com/power-vs-force-paperback,paperback,matched_by_title,
Success Is for You,https://www.hayhouse.com/success-is-for-you-ebook,eBook,matched_by_title,
Reality Spirituality and Modern Man,https://www.hayhouse.com/reality-spirituality-and-modern-man-paperback,paperback,matched_by_title,
Truth vs Falsehood,https://www.hayhouse.com/catalog/product/view/id/23364/s/truth-vs-falsehood-parperback/,paperback,matched_by_title,
The Map of Consciousness Explained,https://www.hayhouse.com/the-map-of-consciousness-explained-paperback,paperback,matched_by_title,
The Ego Is Not the Real You,https://www.hayhouse.com/the-ego-is-not-the-real-you-paperback-us,paperback,matched_by_title,
The Wisdom of Dr David R Hawkins,https://www.hayhouse.com/wisdom-of-dr-david-r-hawkins-paperback,paperback,matched_by_title,
Daily Reflections from Dr David R Hawkins,https://www.hayhouse.com/daily-reflections-from-dr-david-r-hawkins-paperback,paperback,matched_by_title,
In the World But Not of It,https://www.hayhouse.com/in-the-world-but-not-of-it-paperback,paperback,matched_by_title,
The Highest Level of Enlightenment,https://www.hayhouse.com/the-highest-level-of-enlightenment-paperback,paperback,matched_by_title,
The Evolution of Consciousness,https://www.hayhouse.com/the-evolution-of-consciousness-ebook,eBook,matched_by_title,
Spiritual Power and Integrity,https://www.hayhouse.com/spiritual-power-and-integrity-paperback,paperback,matched_by_title,
How to Surrender to God,https://www.hayhouse.com/how-to-surrender-to-god-audiodownload,audio,matched_by_title,Promoted to curated master 372 (owner ruling 2026-08-07); Hay House audio program.
Live Life As A Prayer,https://www.hayhouse.com/live-life-as-a-prayer-audio-download,audio,matched_by_title,Same Hay House audio program as master 343 (Live Life As A Prayer (Audio)); Hay House URL already on 343. Deduplicated 2026-08-07.
The Letting Go Guided Journal,https://www.hayhouse.com/the-letting-go-guided-journal,guided journal,excluded_related_material,Hay House merchandise (guided journal) derived from the Letting Go book; not a master record. Ruled 2026-08-07.
The Letting Go Deck,https://www.hayhouse.com/the-letting-go-deck-card-deck,card deck,excluded_related_material,Hay House merchandise (card deck) derived from the Letting Go book; not a master record (matches the Veritas Letting Go Deck precedent). Ruled 2026-08-07.
