raw_row_number,target_field,override_value,review_status,approval_date,review_reason,evidence_source
28,source_url_veritas,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50589)
29,source_url_veritas,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50589)
30,source_url_veritas,https://veritaspub.com/product/2002-08-advaita-the-way-to-god-through-mind/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50589)
144,source_url_veritas,https://veritaspub.com/product/2007-04-relativism-vs-reality-april-2007/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50746)
145,source_url_veritas,https://veritaspub.com/product/2007-04-relativism-vs-reality-april-2007/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50746)
146,source_url_veritas,https://veritaspub.com/product/2007-04-relativism-vs-reality-april-2007/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 50746)
260,source_url_veritas,https://veritaspub.com/product/stress/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
261,source_url_veritas,https://veritaspub.com/product/health/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
262,source_url_veritas,https://veritaspub.com/product/spiritual-first-aid-2/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
263,source_url_veritas,https://veritaspub.com/product/sexuality-2/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
264,source_url_veritas,https://veritaspub.com/product/the-aging-process/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
265,source_url_veritas,https://veritaspub.com/product/handling-major-crises-2/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
266,source_url_veritas,https://veritaspub.com/product/worry-fear-and-anxiety-2/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
267,source_url_veritas,https://veritaspub.com/product/pain-and-suffering/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
268,source_url_veritas,https://veritaspub.com/product/losing-weight/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
269,source_url_veritas,https://veritaspub.com/product/depression/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
270,source_url_veritas,https://veritaspub.com/product/illness-and-self-healing/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
271,source_url_veritas,https://veritaspub.com/product/alcoholism/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
272,source_url_veritas,https://veritaspub.com/product/drug-addiction-and-alcoholism/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
274,source_url_veritas,https://veritaspub.com/product/a-map-of-consciousness/,approved,2026-08-03,"Official product 50432 'A Map of Consciousness' is in the archival-office-visit-series category, matching this Office Series B-03 recording. Product 1560 'Map of Consciousness (R)' is a printed 8.5x10 wall chart (SKU pm_moc_l, category map-of-consciousness) and cannot be the source of a video item.",https://veritaspub.com/wp-json/wp/v2/product (official product_cat taxonomy)
275,source_url_veritas,https://veritaspub.com/product/cancer/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
277,source_url_veritas,https://veritaspub.com/product/death-and-dying/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
280,source_url_veritas,https://veritaspub.com/product/satsang-series-january-2007-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1578)
281,source_url_veritas,https://veritaspub.com/product/satsang-series-march-2007-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1584)
282,source_url_veritas,https://veritaspub.com/product/satsang-series-may-2007-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1586)
283,source_url_veritas,https://veritaspub.com/product/satsang-series-4-july-11-2007/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1592)
284,source_url_veritas,https://veritaspub.com/product/satsang-series-sept-2007-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1602)
285,source_url_veritas,https://veritaspub.com/product/satsang-series-may-2008-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1633)
286,source_url_veritas,https://veritaspub.com/product/satsang-series-3-september-10-2008/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1645)
287,source_url_veritas,https://veritaspub.com/product/satsang-series-1-january-7-2009/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1659)
288,source_url_veritas,https://veritaspub.com/product/satsang-series-2-may-13-2009/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1671)
289,source_url_veritas,https://veritaspub.com/product/satsang-series-september-2009-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1677)
290,source_url_veritas,https://veritaspub.com/product/satsang-november-2009-cd/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1683)
291,source_url_veritas,https://veritaspub.com/product/satsang-series-february-2010/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1687)
292,source_url_veritas,https://veritaspub.com/product/2010-11-satsang-series-nov-2010/,approved,2026-08-03,Approved exact Month/Year Satsang source relationship based on official product title.,data/veritas_official_products.csv (Veritas product 1704)
297,source_url_veritas,https://veritaspub.com/product/https-veritaspub-com-product-golden-word-book-signing-january-13-2007/,approved,2026-08-03,Preserve current master association verified against the official inventory during reconciliation.,data/veritas_official_products.csv
300,source_url_veritas,https://veritaspub.com/product/all-is-divinity/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 1826)
301,source_url_veritas,https://veritaspub.com/product/compassion-the-pathway-of-the-heart/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 39375)
302,source_url_veritas,https://veritaspub.com/product/god-is-hidden-within-the-beauty-of-the-music/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 1810)
303,source_url_veritas,https://veritaspub.com/product/god-is-the-infinite-field/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 1802)
304,source_url_veritas,https://veritaspub.com/product/spiritual-reality-3-cd-set/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 46042)
305,source_url_veritas,https://veritaspub.com/product/the-ever-present-joy/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 1828)
306,source_url_veritas,https://veritaspub.com/product/the-power-of-devotion/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 1804)
307,source_url_veritas,https://veritaspub.com/product/prevailing-silence-3-cd-set/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 37761)
308,source_url_veritas,https://veritaspub.com/product/transcending-the-ego/,approved,2026-08-03,Approved exact title/date source relationship based on the official Veritas product inventory.,data/veritas_official_products.csv (Veritas product 48825)
