work_id,member_master_uuid,canonical_work_title,evidence_note,review_status,reviewed_on
w-truth-vs-falsehood,289,Truth vs Falsehood,Book edition: Veritas 50398 primary; audiobook edition: Audible URL on row; video/audio set edition: Veritas 1728 related_material.,approved,2026-08-03
w-power-vs-force,286,Power vs Force,Book edition: Hay House paperback + Audible audiobook URL on row; video edition (Volume I) master 202 proposed in same family - REQUIRES RULING whether lecture series is same work as the book.,approved,2026-08-03
w-power-vs-force,202,Power vs Force,Volume I-Power vs Force (Part 1) lecture row; Veritas book 50411 + audiobook 1542 are related_material on this row - REQUIRES RULING (see 286).,approved,2026-08-03
w-eye-of-the-i,287,The Eye of the I,Book edition: Veritas primary; audiobook edition: Audible URL on row.,approved,2026-08-03
w-letting-go,290,Letting Go,Book edition: Veritas primary; audiobook edition: Audible URL on row.,approved,2026-08-03
w-healing-and-recovery,291,Healing and Recovery,Book edition: Veritas 50378 primary; audio edition: Veritas 1695 related_material; audiobook: Audible URL on row.,approved,2026-08-03
w-transcending-the-levels,294,Transcending the Levels of Consciousness,Book edition: Veritas primary; audiobook edition: Audible URL on row.,approved,2026-08-03
w-in-the-world-but-not-of-it,300,"In the World, But Not of It",Book edition: Veritas 53062 primary; audio edition: Veritas 1661 related_material; audiobook: Audible URL on row.,approved,2026-08-03
w-highest-level-of-enlightenment,301,The Highest Level of Enlightenment,Book edition: Hay House paperback (approved override); audio edition: Veritas 1742 related_material (audio-only at Veritas).,approved,2026-08-03
w-highest-level-of-enlightenment,46,The Highest Level of Enlightenment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-highest-level-of-enlightenment,47,The Highest Level of Enlightenment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-highest-level-of-enlightenment,48,The Highest Level of Enlightenment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-nature-of-divinity,19,The Nature of Divinity vs Religious Fallacy,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-nature-of-divinity,20,The Nature of Divinity vs Religious Fallacy,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-nature-of-divinity,21,The Nature of Divinity vs Religious Fallacy,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-advaita,22,Advaita: The Way to God Through Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-advaita,23,Advaita: The Way to God Through Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-advaita,24,Advaita: The Way to God Through Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-realizing-root,16,Realizing the Root of Consciousness: Meditative and Contemplative Ways,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-realizing-root,17,Realizing the Root of Consciousness: Meditative and Contemplative Ways,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-realizing-root,18,Realizing the Root of Consciousness: Meditative and Contemplative Ways,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-intention,79,Intention,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-intention,80,Intention,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-intention,81,Intention,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-alignment,76,Alignment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-alignment,77,Alignment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-alignment,78,Alignment,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-identification-illusion,64,Identification and Illusion,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-identification-illusion,65,Identification and Illusion,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-identification-illusion,66,Identification and Illusion,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-emotions-sensations,58,Emotions and Sensations,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-emotions-sensations,59,Emotions and Sensations,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-emotions-sensations,60,Emotions and Sensations,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-god-vs-science,127,God vs. Science: Limits of the Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-god-vs-science,128,God vs. Science: Limits of the Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-god-vs-science,129,God vs. Science: Limits of the Mind,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-tlc-perception,106,Perception vs Essence (VERIFY: Transcending series Perception part),Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-tlc-perception,107,Perception vs Essence (VERIFY: Transcending series Perception part),Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-tlc-perception,108,Perception vs Essence (VERIFY: Transcending series Perception part),Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-compassion,267,Compassion: The Pathway of the Heart,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-live-prayer,121,Live Your Life Like A Prayer,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-live-prayer,122,Live Your Life Like A Prayer,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
w-live-prayer,123,Live Your Life Like A Prayer,Lecture series part group; audiobook/audio edition evidence (Phase 3 batch).,approved,2026-08-03
